sample_id,model,temperature,repeat,target_description,ground_truth_object_id,predicted_object_id,correct,generated_output_text,decision_token_count,raw_log_probability,raw_sequence_likelihood
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,0.5,0,alphabet soup,object_005,object_007,False,G,1,-0.04849015176296234,0.9526667213473262
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,0.5,1,alphabet soup,object_005,object_007,False,G,1,-0.029727580025792122,0.9707099383086614
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,0.5,2,alphabet soup,object_005,object_007,False,G,1,-0.05247241258621216,0.948880497853654
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,0.0,0,alphabet soup,object_005,object_007,False,G,1,-0.05247241258621216,0.948880497853654
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,0.0,1,alphabet soup,object_005,object_007,False,G,1,-0.04849015176296234,0.9526667213473262
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,0.0,2,alphabet soup,object_005,object_007,False,G,1,-0.029727580025792122,0.9707099383086614
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,1.0,0,alphabet soup,object_005,object_007,False,G,1,-0.051119301468133926,0.9501653076542094
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,1.0,1,alphabet soup,object_005,object_007,False,G,1,-0.05247241258621216,0.948880497853654
task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,1.0,2,alphabet soup,object_005,object_007,False,G,1,-0.05247241258621216,0.948880497853654
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,0.5,0,alphabet soup,object_005,object_006,False,F,1,-0.2502509653568268,0.7786053555787753
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,0.5,1,alphabet soup,object_005,object_006,False,F,1,-0.2502509653568268,0.7786053555787753
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,0.5,2,alphabet soup,object_005,object_006,False,F,1,-0.2502509653568268,0.7786053555787753
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,0.0,0,alphabet soup,object_005,object_006,False,F,1,-0.17377416789531708,0.8404866851046308
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,0.0,1,alphabet soup,object_005,object_006,False,F,1,-0.2502509653568268,0.7786053555787753
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,0.0,2,alphabet soup,object_005,object_006,False,F,1,-0.2502509653568268,0.7786053555787753
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,1.0,0,alphabet soup,object_005,object_006,False,F,1,-0.2502509653568268,0.7786053555787753
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,1.0,1,alphabet soup,object_005,object_006,False,F,1,-0.2502509653568268,0.7786053555787753
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,1.0,2,alphabet soup,object_005,object_005,True,E,1,-1.9690009355545044,0.13959625222297906
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,0.5,0,alphabet soup,object_005,object_007,False,G,1,-1.2664456789934775e-06,0.9999987335551229
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,0.5,1,alphabet soup,object_005,object_007,False,G,1,-6.704273118884885e-07,0.9999993295729128
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,0.5,2,alphabet soup,object_005,object_007,False,G,1,-4.320199877838604e-07,0.9999995679801056
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,0.0,0,alphabet soup,object_005,object_007,False,G,1,-6.704273118884885e-07,0.9999993295729128
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,0.0,1,alphabet soup,object_005,object_007,False,G,1,-6.704273118884885e-07,0.9999993295729128
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,0.0,2,alphabet soup,object_005,object_007,False,G,1,-6.704273118884885e-07,0.9999993295729128
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,1.0,0,alphabet soup,object_005,object_007,False,G,1,-6.704273118884885e-07,0.9999993295729128
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,1.0,1,alphabet soup,object_005,object_007,False,G,1,-4.320199877838604e-07,0.9999995679801056
task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,1.0,2,alphabet soup,object_005,object_007,False,G,1,-4.320199877838604e-07,0.9999995679801056
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,0.5,0,alphabet soup,object_005,object_006,False,F,1,-0.12012415379285812,0.8868103290162614
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,0.5,1,alphabet soup,object_005,object_006,False,F,1,-0.0887933149933815,0.9150346779797306
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,0.5,2,alphabet soup,object_005,object_006,False,F,1,-0.09953954815864563,0.9052541480259034
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,0.0,0,alphabet soup,object_005,object_006,False,F,1,-0.09953954815864563,0.9052541480259034
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,0.0,1,alphabet soup,object_005,object_006,False,F,1,-0.0887933149933815,0.9150346779797306
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,0.0,2,alphabet soup,object_005,object_006,False,F,1,-0.12012415379285812,0.8868103290162614
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,1.0,0,alphabet soup,object_005,object_006,False,F,1,-0.12012415379285812,0.8868103290162614
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,1.0,1,alphabet soup,object_005,object_006,False,F,1,-0.12012415379285812,0.8868103290162614
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,1.0,2,alphabet soup,object_005,object_005,True,E,1,-2.557624101638794,0.077488627010828
task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,0.5,0,cream cheese,object_006,object_006,True,F,1,-1.0921942703134846e-05,0.999989078116941
task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,0.5,1,cream cheese,object_006,object_006,True,F,1,-5.200166469876422e-06,0.999994799847051
